,sample-1,sample-2,sample-3,sample-4,sample-5,sample-6,sample-7,sample-8,sample-9,sample-10,sample-11,sample-12,sample-13,sample-14,sample-15,sample-16,sample-17,sample-18,sample-19,sample-20,sample-21,sample-22,sample-23,sample-24,sample-25,sample-26,sample-27,sample-28,sample-29,sample-30,sample-31,sample-32,sample-33,sample-34,sample-35,sample-36,sample-37,sample-38,sample-39,sample-40,sample-41,sample-42,sample-43,sample-44
sample-1,0.0,0.1937462885892695,0.2534779079786472,0.26877875555021125,0.20539654607654,0.2941824709877871,0.2831111402875119,0.23491482917949869,0.3503094925289894,0.2982087518183208,0.31288238816721475,0.3313386192271427,0.3681126261670994,0.35999964577633103,0.2865416156940038,0.2532754522462072,0.2577428826751294,0.22299372987154828,0.28904422197036495,0.22606369632643725,0.3074746938801704,0.34194196102968194,0.1844859126956183,0.1926512314244716,0.2716820075540966,0.2966652989002172,0.3243248130675825,0.37166327092801393,0.22360180859181253,0.16245967532137012,0.24633128674247365,0.2005622959317222,0.3095996593650477,0.35847273186751094,0.2516646254467088,0.3357373867120358,0.2088390478430513,0.3558317777484313,0.3082332823113899,0.3390489242840544,0.378461854190173,0.3500584535230815,0.2695350774231175,0.27131096886229333
sample-2,0.1937462885892695,0.0,0.1613162604059996,0.16619673453058761,0.12647582648872316,0.19102781284232873,0.15915400236076038,0.19291790252422653,0.2620444089564397,0.23115113709844975,0.18249555067534678,0.21566360007142707,0.26583905834352506,0.26797667938019976,0.2787790699286187,0.28886827559417516,0.26232506422538565,0.22133072297219775,0.2280967219133329,0.2665229788054345,0.22048011770264192,0.2600827859970444,0.22647970286251107,0.19491377925216707,0.16753702884688448,0.17930913456652886,0.40912968395033406,0.37788916948562234,0.16528351597782648,0.2282551887106843,0.21248548521834595,0.20136657501810337,0.2055618665756878,0.2677496874143043,0.2353542341166762,0.24887905258703424,0.2929250932456442,0.23577140025897525,0.24329646340381977,0.2675925587549999,0.2812596918583733,0.24398575861655955,0.1777770342941516,0.18359238454770554
sample-3,0.2534779079786472,0.1613162604059996,0.0,0.12001588443241804,0.14680285980112284,0.20952969221715462,0.22378787550967816,0.20851064025015997,0.2636055891378559,0.23651345193603573,0.20845056104592025,0.22655591587583324,0.3250956846922213,0.3265651148733405,0.20948506308969123,0.20065593655270822,0.23255568602745033,0.2250631311251835,0.24295710255650327,0.28666555985167297,0.18457292846268938,0.20355432696251513,0.23632967798955873,0.1898340276466317,0.20397829348976387,0.21037884531292983,0.3403270560716104,0.3261262261684904,0.17015549828898074,0.22993593332561235,0.21324074387859537,0.21407070927303248,0.22656092457565924,0.27925305504063486,0.26702526495636525,0.2735352299385415,0.2908662150189848,0.24799527612984762,0.19501280256983142,0.2212869446445383,0.2873542681768781,0.24890202018067814,0.2121355065736184,0.1997876433230958
sample-4,0.26877875555021125,0.16619673453058761,0.12001588443241804,0.0,0.17966530234189046,0.19901384528672816,0.1652541451209965,0.17811144930365072,0.26169051303430113,0.21012167059502682,0.1814656221977617,0.19763303521427972,0.30696531265800653,0.30723518689041235,0.257399196543184,0.24721578808555422,0.25480094766415284,0.22245851769926275,0.2411300430438812,0.2759133549084586,0.1382493985816315,0.19453831070530767,0.22327587248935626,0.18302697815639807,0.21409275399418093,0.22324577819387187,0.3555009701132255,0.36028698103844076,0.18395586422706173,0.22052223421910067,0.21001685270533016,0.20074974471290102,0.24991500669103228,0.27665093728600165,0.249100635458258,0.2679772630324755,0.28692138436766085,0.21903412549465484,0.20430655619801974,0.23239301116564082,0.2629250932255937,0.22502628647795156,0.18643238625258224,0.19361296349774937
sample-5,0.20539654607654,0.12647582648872316,0.14680285980112284,0.17966530234189046,0.0,0.14404877222504608,0.20224656744622643,0.21241900214227255,0.22731942628357468,0.23056466422448627,0.1908611637193368,0.24443511786499336,0.2570977285147884,0.24692876308993392,0.2623719928447379,0.27385175822216323,0.22537865786264116,0.20183248385792896,0.21867557613684246,0.2551648584670627,0.2237923306160267,0.27414931921829455,0.2067334800442821,0.1809117378913004,0.15704690988337647,0.17953647159936,0.38834948221715204,0.35167011570402223,0.13334442956916553,0.1995682629693495,0.1784901657733841,0.17990156193863016,0.18595766218586557,0.2605377542682954,0.22226218273993464,0.2461470336360999,0.2894592924306702,0.22260337174984893,0.218701083386525,0.23893265013209003,0.26235794098430704,0.23150032879953403,0.1793149958634807,0.1514930629322046
sample-6,0.2941824709877871,0.19102781284232873,0.20952969221715462,0.19901384528672816,0.14404877222504608,0.0,0.1895963932985662,0.21615121512243154,0.1797323809650882,0.2099684136747741,0.1713956629671693,0.20845666867946427,0.20527861347167592,0.19815912984867434,0.34365669886447303,0.3272936090140483,0.23293693897528367,0.20347177708993996,0.2013883643696531,0.2397039664263182,0.23533634229363942,0.25374070055997555,0.2480936396162942,0.25293065171304197,0.18246969498036297,0.2123468177275439,0.40912573878379566,0.3568822858696481,0.22716400416501042,0.25272949187037014,0.1856032839565236,0.1997407901745553,0.22846987315347134,0.30468913038723416,0.2593990568278366,0.166820499877531,0.34215435187758336,0.17542595228908425,0.23608862875006817,0.23215111246368647,0.18915984297155702,0.16734834784357722,0.1574837116678435,0.149719901211341
sample-7,0.2831111402875119,0.15915400236076038,0.22378787550967816,0.1652541451209965,0.20224656744622643,0.1895963932985662,0.0,0.1328818534610473,0.26843904564864174,0.2387670756622909,0.1397619669768607,0.17241897162376194,0.2638469796740568,0.26648465795004295,0.31833157028244446,0.28581617719060615,0.306922970068964,0.2582679220417192,0.28941827893664407,0.3242157202722877,0.17567029856671423,0.22434439580283294,0.27551635318130707,0.24364813858679996,0.20987844403910583,0.22065492195583783,0.38424706957246224,0.3711444856180586,0.25124677366961023,0.2765292504446293,0.22094821015494956,0.2345714847492391,0.2184264192167026,0.28081919584650333,0.2793134692086123,0.23661482942777567,0.3480982284999555,0.1995311833595103,0.25111851422440024,0.2571737341451975,0.27613097558636857,0.2348668711590815,0.14809248601742986,0.16286756948288175
sample-8,0.23491482917949869,0.19291790252422653,0.20851064025015997,0.17811144930365072,0.21241900214227255,0.21615121512243154,0.1328818534610473,0.0,0.2921603796758656,0.26172109663175225,0.20464024917036433,0.20401898729762358,0.30316537144102523,0.2967328413087438,0.26261883313979195,0.23276275452726697,0.24111961328761028,0.19443219242995247,0.2597849723521564,0.24828607339985703,0.21305905936873615,0.21283739265727153,0.20461307855317726,0.2130344520073011,0.25865975562075094,0.27840863599783056,0.2955478583336238,0.28255496245268946,0.2496936022346122,0.22246248044391087,0.18156421123746103,0.18332398900654898,0.26564054182022173,0.3373683541912469,0.2417446237688446,0.28599344333826776,0.2707469321061886,0.22685575058140123,0.19769025312619154,0.22230043847019074,0.29887016594136595,0.2824697593124161,0.19547551003365143,0.18671328002253051
sample-9,0.3503094925289894,0.2620444089564397,0.2636055891378559,0.26169051303430113,0.22731942628357468,0.1797323809650882,0.26843904564864174,0.2921603796758656,0.0,0.15016508390133912,0.2284552105814901,0.26362801768481564,0.19459650183132673,0.19098287258852736,0.40102141317343376,0.3946850259546863,0.21565224668578595,0.22351086573596826,0.20726981165402855,0.24414511545020146,0.3061899497599968,0.27851716599169757,0.2930046791390283,0.31202704673924364,0.21518948628235401,0.26142304134839206,0.40294103712414553,0.35368083465159295,0.29487376829850226,0.32974974675869384,0.2288279737551414,0.2520415193667748,0.3068881065223939,0.36766515242008313,0.30882057587557044,0.20659356616572547,0.4006680427941385,0.2303885274733923,0.2386202223910132,0.23242453334847962,0.19612048918767916,0.19211344050294646,0.2327132168634023,0.23794307247777702
sample-10,0.2982087518183208,0.23115113709844975,0.23651345193603573,0.21012167059502682,0.23056466422448627,0.2099684136747741,0.2387670756622909,0.26172109663175225,0.15016508390133912,0.0,0.2637565310610559,0.25668602664668294,0.2465174797220959,0.2565531382748958,0.3884918776306543,0.38683680471333703,0.24236883227447098,0.20448874782394855,0.22938332856268182,0.27000306161238186,0.2724232961800943,0.2817575138038764,0.2560982475355289,0.259630342398419,0.2218022803411986,0.24857444528373074,0.4323535855571333,0.4131487766664471,0.24850479585654828,0.28580335955410413,0.2343313298405879,0.22867049509294485,0.2926998235137919,0.3264374364189413,0.26862284119449664,0.23203115540027414,0.36567532059683416,0.255546234737681,0.2727773253238734,0.28585830014849906,0.2216799965812837,0.2015753919008192,0.20658539486691702,0.22085205693514828
